Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),GNSS flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution,State Estimator Iterations,Trajectory Iterations,steering flag,GPS velocity (m/s),E2 limit,E1 limit,Gyroscope Y (rad/s),Speed reference (rad/s),PI Current (A),Ki,Kp
1.0068391248,0.2090858571,-0.7810421400,-0.0024245292,0.0008042849,-0.0510579563,0,2153826,3,0,0,-4681.914129,-1667.233555,-1.260145,-0.000792,-0.002432,-0.050980,0.000000,0,0,0,0.000148,0,0,-0.000008,-0,30,30,0,0.076132,0,0,0.000043,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7559089200,0.0033786906,0.0009570012,-0.0510579563,0,2153836,3,0,0,-4653.790002,-1658.204436,-1.26116,-0.000747,0.003373,-0.050968,0.000000,0,-0,0,-0.000117,0,0,0.000006,-0,31,31,0,0.076132,0,0,-0.004691,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7475311800,-0.0016609476,-0.0013337435,-0.0510579563,0,2153846,3,0,0,-4625.684988,-1649.21291,-1.262176,-0.000753,-0.001668,-0.050973,0.000000,0,0,0,0.00006,0,0,-0.000003,-0,32,32,0,0.076132,0,0,0.000501,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7630898400,0.0013933786,-0.0002647293,-0.0510579563,0,2153856,3,0,0,-4597.599154,-1640.25894,-1.263191,-0.000728,0.001386,-0.050976,0.000000,0,0,0,0.000166,0,0,-0.000009,-0,33,33,0,0.076132,0,0,-0.000568,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7846326000,-0.0028826781,0.0018732990,-0.0510579563,0,2153866,3,0,0,-4569.532564,-1631.34248,-1.264206,-0.000748,-0.00289,-0.050979,0.000000,0,0,0,0.000113,0,0,-0.000006,-0,34,34,0,0.076132,0,0,-0.000873,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7642866600,-0.0008973661,-0.0011810272,-0.0510579563,0,2153876,3,0,0,-4541.485288,-1622.463485,-1.265221,-0.000747,-0.000904,-0.050980,0.000000,0,-0,0,-0.000111,0,0,0.000006,-0,35,35,0,0.076132,0,0,-0.001179,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7810421400,-0.0013555150,-0.0013337435,-0.0510579563,0,2153886,4,0,0,-4513.45739,-1613.621917,-1.266236,-0.000751,-0.001363,-0.050989,0.000000,0,-0,0,-0.000129,0,0,0.000007,-0,36,36,0,0.039095,0,0,-0.000415,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7870262400,-0.0134201035,0.0015678664,-0.0510579563,0,2153896,4,0,0,-4485.448936,-1604.817736,-1.267251,-0.000877,-0.013426,-0.050981,0.000000,0,0,0,0.000008,0,0,-0,-0,37,37,0,0.039095,0,0,0.005999,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7762548600,-0.0027299618,0.0000407033,-0.0510579563,0,2153906,4,0,0,-4457.459995,-1596.050893,-1.268266,-0.000894,-0.002737,-0.050978,0.000000,0,0,0,0.000212,0,0,-0.000012,-0,38,38,0,0.039095,0,0,-0.00408,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7989944400,0.0004770807,0.0015678664,-0.0510579563,0,2153917,4,0,0,-4457.459995,-1596.050893,-1.268266,-0.000894,-0.002737,-0.050978,0.000000,0,-0,0,-0.000068,0,0,0.000004,-0,38,39,0,0.039095,0,0,-0.001179,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7989944400,0.0004770807,0.0015678664,-0.0510579563,0,2153926,4,0,0,-4401.540901,-1578.629051,-1.270296,-0.000867,0.00047,-0.050985,0.000000,0,0,0,0.000125,0,0,-0.000007,-0,40,40,0,0.039095,0,0,-0.001179,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7774516800,0.0053640026,-0.0004174456,-0.0510579563,0,2153936,4,0,0,-4373.610884,-1569.973965,-1.271311,-0.000804,0.005357,-0.050982,0.000000,0,0,0,0.000167,0,0,-0.000009,-0,41,41,0,0.039095,0,0,-0.00072,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7738612200,0.0050585700,-0.0002647293,-0.0510579563,0,2153946,4,0,0,-4345.700641,-1561.356048,-1.272326,-0.000744,0.005052,-0.050981,0.000000,0,0,0,0.000039,0,0,-0.000002,-0,42,42,0,0.039095,0,0,-0.003927,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7834357800,-0.0037989760,-0.0013337435,-0.0510579563,0,2153956,4,0,0,-4317.810236,-1552.775257,-1.273341,-0.000773,-0.003807,-0.050990,0.000000,0,-0,19,-1560.134889,-1.272326,0,0.167891,0.407969,43,43,0,0.039095,0,0,-0.001637,0,0,0.5,1.4
1.0068391248,0.2090858571,-0.7918135200,0.0024623927,-0.0020973250,-0.0510579563,0,2153966,4,0,0,-4289.939737,-1544.231552,-1.274356,-0.000739,0.002455,-0.050996,0.000000,0,-0,0,-0.000024,0,0,0.000001,-0,44,44,0,0.039095,0,0,-0.005149,0,0,0.5,1.4
